,Country Name,Continent,Country Code,years,Population,CO2,GDP/cap,AE,CO2_abs,CO2_abs_new
202,Brunei Darussalam,Asia,BRN,2019,433296,16.13215855,31085.96193,100,6989.999771,0.698999977
203,Bhutan,Asia,BTN,1990,530801,0.150715617,541.9322571,,80,0.008
204,Bhutan,Asia,BTN,1995,534629,0.299272954,543.3016187,,160,0.016
205,Bhutan,Asia,BTN,2000,591014,0.355321532,718.196337,31.14999962,210,0.021
206,Bhutan,Asia,BTN,2005,648744,0.493260813,1228.432356,59.8081131,319.9999928,0.031999999
207,Bhutan,Asia,BTN,2010,685502,0.583513988,2258.186435,73.28291321,400.000006,0.040000001
208,Bhutan,Asia,BTN,2015,727885,1.057859388,2752.630172,95.53071594,769.9999809,0.076999998
209,Bhutan,Asia,BTN,2019,763094,1.375977209,3322.863329,100,1049.999952,0.104999995
210,Botswana,Africa,BWA,1990,1286756,2.183786203,2945.83204,,2810,0.281
211,Botswana,Africa,BWA,1995,1469173,2.171289562,3219.914242,16.12501717,3190,0.319
212,Botswana,Africa,BWA,2000,1643333,2.452333155,3522.310821,26.40897942,4030,0.403
213,Botswana,Africa,BWA,2005,1799077,2.378997792,5513.331063,37.51417923,4280.00021,0.428000021
214,Botswana,Africa,BWA,2010,1987106,1.695933627,6434.812485,52.0177803,3369.999886,0.336999989
215,Botswana,Africa,BWA,2015,2120716,3.277194971,6402.910183,62.13000107,6949.999809,0.694999981
216,Botswana,Africa,BWA,2019,2303703,3.147107071,7247.429476,69.95973969,7250,0.725
217,Central African Republic,Africa,CAF,1990,2806740,0.053442784,513.3041877,,150,0.015
218,Central African Republic,Africa,CAF,1995,3222662,0.049648396,346.1081962,3,160,0.016
219,Central African Republic,Africa,CAF,2000,3640421,0.065926441,251.832764,6,240,0.024
220,Central African Republic,Africa,CAF,2005,4038380,0.05447729,331.2948211,7.47804451,219.9999988,0.022
221,Central African Republic,Africa,CAF,2010,4386765,0.038752931,488.4217358,9.800000191,170.0000018,0.017
